Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2018,Finland,1.305,1.592,0.874,0.681,7.632
2018,Norway,1.456,1.582,0.861,0.686,7.594
2018,Denmark,1.351,1.59,0.868,0.683,7.555
2018,Iceland,1.343,1.644,0.914,0.677,7.495
2018,Switzerland,1.42,1.549,0.927,0.66,7.487
2018,Netherlands,1.361,1.488,0.878,0.638,7.441
2018,Canada,1.33,1.532,0.896,0.653,7.328
2018,New Zealand,1.268,1.601,0.876,0.669,7.324
2018,Sweden,1.355,1.501,0.913,0.659,7.314
2018,Australia,1.34,1.573,0.91,0.647,7.272
2018,United Kingdom,1.244,1.433,0.888,0.464,7.19
2018,Austria,1.341,1.504,0.891,0.617,7.139
2018,Costa Rica,1.01,1.459,0.817,0.632,7.072
2018,Ireland,1.448,1.583,0.876,0.614,6.977
2018,Germany,1.34,1.474,0.861,0.586,6.965
2018,Belgium,1.324,1.483,0.894,0.583,6.927
2018,Luxembourg,1.576,1.52,0.896,0.632,6.91
2018,United States,1.398,1.471,0.819,0.547,6.886
2018,Israel,1.301,1.559,0.883,0.533,6.814
2018,Czech Republic,1.233,1.489,0.854,0.543,6.711
2018,Malta,1.27,1.525,0.884,0.645,6.627
2018,France,1.293,1.466,0.908,0.52,6.489
2018,Mexico,1.038,1.252,0.761,0.479,6.488
2018,Chile,1.131,1.331,0.808,0.431,6.476
2018,Taiwan,1.365,1.436,0.857,0.418,6.441
2018,Panama,1.112,1.438,0.759,0.597,6.43
2018,Brazil,0.986,1.474,0.675,0.493,6.419
2018,Argentina,1.073,1.468,0.744,0.57,6.388
2018,Guatemala,0.781,1.268,0.608,0.604,6.382
2018,Uruguay,1.093,1.459,0.771,0.625,6.379
2018,Qatar,1.649,1.303,0.748,0.654,6.374
2018,Saudi Arabia,1.379,1.331,0.633,0.509,6.371
2018,Singapore,1.529,1.451,1.008,0.631,6.343
2018,Malaysia,1.161,1.258,0.669,0.356,6.322
2018,Spain,1.251,1.538,0.965,0.449,6.31
2018,Colombia,0.96,1.439,0.635,0.531,6.26
2018,Trinidad & Tobago,1.223,1.492,0.564,0.575,6.192
2018,Slovakia,1.21,1.537,0.776,0.354,6.173
